Title,Year,Directors,WatchedDate,Rating,Rating10
Oldboy,2003,Park Chan-wook,2016-07-23,3.5,7
Eastern Promises,2007,David Cronenberg,2016-07-18,3.5,7
Song of the Sea,2014,Tomm Moore,2016-07-18,4.0,8
Wrinkles,2011,Ignacio Ferreras,2016-07-16,4.0,8
Harakiri,1962,Masaki Kobayashi,2016-07-15,3.0,6
Music Box,1989,Costa-Gavras,2016-07-09,3.5,7
Jaws,1975,Steven Spielberg,2016-06-25,4.0,8
Swing Kids,1993,Thomas Carter,2016-06-24,3.5,7
The Witch,2015,Robert Eggers,2016-06-23,2.0,4
Birdman,2014,Alejandro González Iñárritu,2016-06-23,3.0,6
Gone Girl,2014,David Fincher,2016-06-18,4.0,8
Alice Through the Looking Glass,2016,James Bobin,2016-06-17,3.5,7
The Jungle Book,2016,Jon Favreau,2016-06-11,3.5,7
Network,1976,Sidney Lumet,2016-05-27,3.5,7
Captain America: Civil War,2016,"Anthony Russo, Joe Russo",2016-05-14,3.0,6
Gangster Squad,2013,Ruben Fleischer,2016-04-15,3.5,7
I Origins,2014,Mike Cahill,2016-04-02,3.0,6
Basic Instinct,1992,Paul Verhoeven,2016-04-01,3.5,7
Spanish Affair 2,2015,Emilio Martínez-Lázaro,2016-03-31,3.0,6
The Seventh Seal,1957,Ingmar Bergman,2016-03-29,3.5,7
Batman v. Superman: Dawn of Justice,2016,Zack Snyder,2016-03-27,3.0,6
High Fidelity,2000,Stephen Frears,2016-03-26,3.5,7
Casino,1995,Martin Scorsese,2016-03-26,4.0,8
"Good Bye, Lenin!",2003,Wolfgang Becker,2016-03-25,3.0,6
The Warriors,1979,Walter Hill,2016-03-19,4.0,8
Martin (Hache),1997,Adolfo Aristarain,2016-03-18,3.5,7
Whiplash,2014,Damien Chazelle,2016-03-12,4.0,8
Tangled,2010,"Nathan Greno, Byron Howard",2016-03-05,3.5,7
Tokyo Godfathers,2003,"Satoshi Kon, Shôgo Furuya",2016-02-27,3.5,7
Deadpool,2016,Tim Miller,2016-02-26,3.5,7
Treasure Planet,2002,"John Musker, Ron Clements",2016-02-20,3.5,7
Witness for the Prosecution,1957,Billy Wilder,2016-02-19,4.5,9
Minions,2015,"Kyle Balda, Pierre Coffin",2016-02-13,3.5,7
Nightcrawler,2014,Dan Gilroy,2016-02-13,3.5,7
Barry Lyndon,1975,Stanley Kubrick,2016-02-12,4.0,8
Zootopia,2016,"Byron Howard, Rich Moore",2016-02-11,3.5,7
Mary and Max,2009,Adam Elliot,2016-02-06,4.0,8
Crimson Peak,2015,Guillermo del Toro,2016-02-05,3.5,7
The Hateful Eight,2015,Quentin Tarantino,2016-01-23,4.0,8
Thelma & Louise,1991,Ridley Scott,2016-01-09,3.5,7
Blue Is the Warmest Color,2013,Abdellatif Kechiche,2016-01-02,4.0,8
The Revenant,2015,Alejandro González Iñárritu,2015-12-25,3.5,7
Star Wars: The Force Awakens,2015,J.J. Abrams,2015-12-20,3.5,7
Akira,1988,Katsuhiro Ōtomo,2015-12-09,4.5,9
Hotel Transylvania 2,2015,Genndy Tartakovsky,2015-11-27,3.5,7
The Hangover Part III,2013,Todd Phillips,2015-11-14,2.5,5
Iron Sky,2012,Timo Vuorensola,2015-11-07,3.0,6
Persona,1966,Ingmar Bergman,2015-10-17,3.5,7
Super 8,2011,J.J. Abrams,2015-10-16,3.5,7
The Congress,2013,Ari Folman,2015-10-11,3.0,6
Pulp Fiction,1994,Quentin Tarantino,2015-10-11,4.5,9
Maze Runner: Scorch Trials,2015,Wes Ball,2015-10-02,3.0,6
American Beauty,1999,Sam Mendes,2015-09-12,4.5,9
Bram Stoker's Dracula,1992,Francis Ford Coppola,2015-09-11,4.0,8
Zodiac,2007,David Fincher,2015-09-09,3.0,6
Eyes Wide Shut,1999,Stanley Kubrick,2015-09-05,4.0,8
Judgment at Nuremberg,1961,Stanley Kramer,2015-09-04,3.5,7
For a Few Dollars More,1965,Sergio Leone,2015-08-29,3.5,7
Prometheus,2012,Ridley Scott,2015-08-28,3.0,6
Hotel Transylvania,2012,Genndy Tartakovsky,2015-08-22,3.5,7
Pixels,2015,Chris Columbus,2015-08-21,3.5,7
Flags of Our Fathers,2006,Clint Eastwood,2015-08-08,3.0,6
Rope,1948,Alfred Hitchcock,2015-08-07,4.0,8
The NeverEnding Story,1984,Wolfgang Petersen,2015-08-07,3.5,7
Sucker Punch,2011,Zack Snyder,2015-08-05,3.5,7
Exit Wounds,2001,Andrzej Bartkowiak,2015-08-05,2.5,5
To Live,1952,Akira Kurosawa,2015-08-03,3.5,7
The Fifth Element,1997,Luc Besson,2015-08-02,4.0,8
Jesus Christ Vampire Hunter,2001,Lee Demarbre,2015-08-02,2.5,5
Goodfellas,1990,Martin Scorsese,2015-08-01,4.0,8
The Game,1997,David Fincher,2015-08-01,4.0,8
Kung Fu Hustle,2004,Stephen Chow,2015-08-01,4.0,8
Shaolin Soccer,2001,Stephen Chow,2015-08-01,3.0,6
Inside Out,2015,"Pete Docter, Ronaldo Del Carmen",2015-07-28,4.5,9
Only God Forgives,2013,Nicolas Winding Refn,2015-06-23,3.0,6
The Troll Hunter,2010,André Øvredal,2015-06-18,3.0,6
The Devil's Rejects,2005,Rob Zombie,2015-05-23,3.5,7
A Fistful of Dollars,1964,Sergio Leone,2015-05-16,4.0,8
Pink Flamingos,1972,John Waters,2015-05-16,3.0,6
Avengers: Age of Ultron,2015,Joss Whedon,2015-05-16,3.5,7
Mad Max: Fury Road,2015,George Miller,2015-05-14,4.0,8
Coherence,2013,James Ward Byrkit,2015-05-09,3.5,7
The Hangover Part II,2011,Todd Phillips,2015-05-09,3.5,7
Carnage,2011,Roman Polanski,2015-05-02,4.0,8
Fando and Lis,1968,Alejandro Jodorowsky,2015-04-30,3.0,6
The Maltese Falcon,1941,John Huston,2015-04-25,3.5,7
The Rocky Horror Picture Show,1975,Jim Sharman,2015-04-25,4.0,8
Mad Max Beyond Thunderdome,1985,"George Miller, George Ogilvie",2015-04-24,3.5,7
Kingsman: The Secret Service,2014,Matthew Vaughn,2015-04-11,4.0,8
Letters From Iwo Jima,2006,Clint Eastwood,2015-04-05,2.5,5
Searching for Sugar Man,2012,Malik Bendjelloul,2015-04-05,4.0,8
12 Angry Men,1957,Sidney Lumet,2015-04-04,4.5,9
The Machinist,2004,Brad Anderson,2015-04-04,3.5,7
Million Dollar Baby,2004,Clint Eastwood,2015-04-04,4.0,8
Kill Bill: Volume 2,2004,Quentin Tarantino,2015-04-02,4.0,8
The Wall,1982,Alan Parker,2015-04-02,3.5,7
Sunset Boulevard,1950,Billy Wilder,2015-04-01,4.5,9
Her,2013,Spike Jonze,2015-03-21,4.0,8
Home,2015,Tim Johnson,2015-03-21,3.0,6
American Gangster,2007,Ridley Scott,2015-03-20,3.5,7
Kill Bill: Volume 1,2003,Quentin Tarantino,2015-03-14,4.0,8
Control,2007,Anton Corbijn,2015-03-07,4.5,9
Welcome Mr. Marshall,1953,Luis García Berlanga,2015-03-07,3.5,7
Fargo,1996,Joel Coen,2015-03-06,3.5,7
Persepolis,2007,"Marjane Satrapi, Vincent Paronnaud",2015-02-28,4.0,8
Torrente 5: Operación Eurovegas,2014,Santiago Segura,2015-02-21,3.0,6
Army of Darkness (Evil Dead 3),1992,Sam Raimi,2015-02-21,3.5,7
All Dogs Go to Heaven,1989,"Don Bluth, Gary Goldman",2015-02-14,3.0,6
Serial (Bad) Weddings,2014,Philippe de Chauveron,2015-02-14,3.5,7
House of 1000 Corpses,2003,Rob Zombie,2015-02-14,3.5,7
Jupiter Ascending,2015,"Lilly Wachowski, Lana Wachowski",2015-02-06,3.5,7
The Mask,1994,Chuck Russell,2015-02-06,4.0,8
Fist of the North Star,1986,Toyoo Ashida,2015-02-01,3.5,7
Dark City,1998,Alex Proyas,2015-01-31,3.5,7
Evil Dead II,1987,Sam Raimi,2015-01-31,3.0,6
Grindhouse (Death Proof),2007,Quentin Tarantino,2015-01-31,4.0,8
Pacific Rim,2013,Guillermo del Toro,2015-01-10,3.5,7
Saturday Night Fever,1977,John Badham,2015-01-04,3.5,7
The Intouchables,2011,"Olivier Nakache, Eric Toledano",2015-01-03,4.0,8
Big Hero 6,2014,"Chris Williams, Don Hall",2015-01-02,4.0,8
The Great Dictator,1940,Charles Chaplin,2015-01-01,4.0,8
The Godfather: Part III,1990,Francis Ford Coppola,2014-12-31,4.0,8
The World's End,2013,Edgar Wright,2014-12-27,3.5,7
Little Nemo: Adventures in Slumberland,1989,"Masami Hata, William T. Hurtz",2014-12-25,4.0,8
Cinema Paradiso,1988,Giuseppe Tornatore,2014-12-25,4.0,8
The Godfather: Part II,1974,Francis Ford Coppola,2014-12-25,3.5,7
The Boat,1981,Wolfgang Petersen,2014-12-23,3.0,6
The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,2014-12-22,4.0,8
The Wolf of Wall Street,2013,Martin Scorsese,2014-12-22,3.5,7
Dumb and Dumber (Dumb & Dumber),1994,"Peter Farrelly, Bobby Farrelly",2014-12-10,3.0,6
Interstellar,2014,Christopher Nolan,2014-11-29,4.0,8
Hot Fuzz,2007,Edgar Wright,2014-11-07,4.0,8
Shaun of the Dead,2004,Edgar Wright,2014-11-07,4.0,8
Water Drops on Burning Rocks,2000,François Ozon,2014-11-06,3.5,7
Breakfast at Tiffany's,1961,Blake Edwards,2014-11-01,4.5,9
Begin Again,2013,John Carney,2014-10-25,4.5,9
Ninja Scroll,1993,Yoshiaki Kawajiri,2014-10-18,4.0,8
Torrente 3,2005,Santiago Segura,2014-10-15,2.5,5
Torrente 2: Mission in Marbella,2001,Santiago Segura,2014-10-15,3.0,6
"Torrente, el brazo tonto de la ley",1998,Santiago Segura,2014-10-15,3.0,6
The Evil Dead,1981,Sam Raimi,2014-10-11,3.0,6
Muertos de risa,1999,Álex de la Iglesia,2014-10-11,2.5,5
Torrente 4: Lethal Crisis (Crisis Letal),2011,Santiago Segura,2014-10-11,2.5,5
Metalhead,2013,Ragnar Bragason,2014-10-10,4.0,8
The Mission,1986,Roland Joffé,2014-10-09,3.5,7
The Maze Runner,2014,Wes Ball,2014-09-27,4.0,8
Modern Times,1936,Charles Chaplin,2014-09-23,4.0,8
Blade Runner,1982,Ridley Scott,2014-09-20,3.5,7
Justin & the Knights of Valour (Justin and the Knights of Valour),2013,Manuel Sicilia,2014-09-20,3.0,6
The 13th Warrior,1999,John McTiernan,2014-09-13,3.5,7
Hercules,2014,Brett Ratner,2014-09-13,3.0,6
The Legend of Hercules,2014,Renny Harlin,2014-09-13,2.0,4
Once Upon a Time in America,1984,Sergio Leone,2014-09-13,4.0,8
Quest for Camelot,1998,Frederik Du Chau,2014-09-12,3.5,7
Django Unchained,2012,Quentin Tarantino,2014-09-06,4.0,8
The Princess and the Frog,2009,"John Musker, Ron Clements",2014-08-30,3.5,7
Braindead,1992,Peter Jackson,2014-08-30,3.5,7
The Lawnmower Man,1992,Brett Leonard,2014-08-29,3.5,7
Guardians of the Galaxy,2014,James Gunn,2014-08-23,4.0,8
Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,2014-08-22,2.0,4
Pompeii,2014,Paul W.S. Anderson,2014-08-21,3.0,6
Bolt,2008,"Chris Williams, Byron Howard",2014-08-18,3.5,7
How to Train Your Dragon 2,2014,Dean DeBlois,2014-08-16,4.0,8
L.A. Confidential,1997,Curtis Hanson,2014-08-16,4.0,8
Role Models,2008,David Wain,2014-08-16,3.0,6
The Ugly Truth,2009,Robert Luketic,2014-08-15,3.0,6
Gamer,2009,"Mark Neveldine, Brian Taylor",2014-08-15,3.5,7
Law Abiding Citizen,2009,F. Gary Gray,2014-08-13,4.5,9
The Treasure of the Sierra Madre,1948,John Huston,2014-08-12,4.0,8
Space Jam,1996,Joe Pytka,2014-08-11,3.5,7
Battle Royale,2000,Kinji Fukasaku,2014-08-11,4.0,8
Burn After Reading,2008,"Joel Coen, Ethan Coen",2014-08-11,3.5,7
The Truman Show,1998,Peter Weir,2014-08-11,4.0,8
Dead Poets Society,1989,Peter Weir,2014-08-11,4.0,8
Frozen,2013,"Chris Buck, Jennifer Lee",2014-08-10,3.5,7
Three Many Weddings,2013,Javier Ruiz Caldera,2014-08-10,3.0,6
Ender's Game,2013,Gavin Hood,2014-08-10,3.0,6
X-Men: Days of Future Past,2014,Bryan Singer,2014-08-10,3.5,7
The Grand Budapest Hotel,2014,Wes Anderson,2014-08-10,3.0,6
The Wolverine,2013,James Mangold,2014-08-10,3.0,6
I Am Legend,2007,Francis Lawrence,2014-08-10,2.5,5
Captain America: The Winter Soldier,2014,"Anthony Russo, Joe Russo",2014-08-10,3.5,7
Captain America: The First Avenger,2011,Joe Johnston,2014-08-10,3.0,6
Solomon Kane,2009,M.J. Bassett,2014-08-10,2.5,5
Drive,2011,Nicolas Winding Refn,2014-08-10,3.5,7
The King's Speech,2010,Tom Hooper,2014-08-10,4.0,8
Rashomon,1950,Akira Kurosawa,2014-08-10,3.5,7
300: Rise of an Empire,2014,Noam Murro,2014-08-10,3.5,7
Meet the Spartans,2008,"Jason Friedberg, Aaron Seltzer",2014-08-10,2.0,4
300,2006,Zack Snyder,2014-08-10,4.0,8
Taking Lives,2004,D.J. Caruso,2014-08-10,3.5,7
Project X,2012,Nima Nourizadeh,2014-08-10,3.0,6
The Wave,2008,Dennis Gansel,2014-08-10,4.0,8
Thor,2011,Kenneth Branagh,2014-08-10,3.0,6
Chinatown,1974,Roman Polanski,2014-08-10,3.5,7
The Untouchables,1987,Brian De Palma,2014-08-10,5.0,10
The Hunger Games: Catching Fire,2013,Francis Lawrence,2014-08-10,3.0,6
The Hunger Games,2012,Gary Ross,2014-08-10,3.5,7
What Lies Beneath,2000,Robert Zemeckis,2014-08-10,3.5,7
jOBS,2013,Joshua Michael Stern,2014-08-10,3.5,7
The Adjustment Bureau,2011,George Nolfi,2014-08-10,3.0,6
Labyrinth,1986,Jim Henson,2014-08-10,4.0,8
Cape Fear,1991,Martin Scorsese,2014-08-10,4.0,8
Raging Bull,1980,Martin Scorsese,2014-08-10,4.0,8
The Lone Ranger,2013,Gore Verbinski,2014-08-10,4.0,8
Murder by Death,1976,Robert Moore,2014-08-10,4.5,9
The Terminator,1984,James Cameron,2014-08-10,4.0,8
Crash,2004,Paul Haggis,2014-08-10,3.5,7
A Perfect Murder,1998,Andrew Davis,2014-08-10,3.5,7
City of Ember,2008,Gil Kenan,2014-08-10,3.0,6
World War Z,2013,Marc Forster,2014-08-10,3.5,7
Predator,1987,John McTiernan,2014-08-10,3.5,7
Lethal Weapon,1987,Richard Donner,2014-08-10,3.5,7
Dredd,2012,Pete Travis,2014-08-10,4.0,8
Some Like It Hot,1959,Billy Wilder,2014-08-10,4.0,8
The Croods,2013,"Kirk De Micco, Chris Sanders",2014-08-10,3.5,7
Red 2,2013,Dean Parisot,2014-08-10,3.5,7
Red,2010,Robert Schwentke,2014-08-10,3.5,7
To Kill a Mockingbird,1962,Robert Mulligan,2014-08-10,3.0,6
The Butterfly Effect,2004,"Eric Bress, J. Mackye Gruber",2014-08-10,4.0,8
The Third Man,1949,Carol Reed,2014-08-10,4.5,9
Gothika,2003,Mathieu Kassovitz,2014-08-10,3.5,7
The Visitors,1993,Jean-Marie Poiré,2014-08-10,3.5,7
M,1931,Fritz Lang,2014-08-10,3.5,7
Tears of the Sun,2003,Antoine Fuqua,2014-08-10,3.5,7
Riki-Oh: The Story of Ricky,1991,Lam Nai-Choi,2014-08-10,3.0,6
Doomsday,2008,Neil Marshall,2014-08-10,3.0,6
Lucky Number Slevin,2006,Paul McGuigan,2014-08-10,4.0,8
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,Kazuhisa Takenouchi,2014-08-10,5.0,10
Mr. Nobody,2009,Jaco Van Dormael,2014-08-10,3.5,7
City Lights,1931,Charles Chaplin,2014-08-10,4.0,8
Requiem for a Dream,2000,Darren Aronofsky,2014-08-10,4.0,8
Aliens,1986,James Cameron,2014-08-10,3.5,7
Red Lights,2012,Rodrigo Cortés,2014-08-10,3.5,7
Paths of Glory,1957,Stanley Kubrick,2014-08-10,3.5,7
Lawrence of Arabia,1962,David Lean,2014-08-10,4.0,8
Apocalypse Now,1979,Francis Ford Coppola,2014-08-10,4.5,9
It's a Wonderful Life,1946,Frank Capra,2014-08-10,4.0,8
Once Upon a Time in the West,1968,Sergio Leone,2014-08-10,3.5,7
The Shawshank Redemption,1994,Frank Darabont,2014-08-10,4.5,9
The Hobbit: The Desolation of Smaug,2013,Peter Jackson,2014-08-10,3.5,7
The Hobbit: An Unexpected Journey,2012,Peter Jackson,2014-08-10,4.0,8
One point 0,2004,"Jeff Renfroe, Marteinn Thorsson",2014-08-10,3.0,6
Frenzy,1972,Alfred Hitchcock,2014-08-10,4.0,8
"Dr. Strangelove, or How I Learned to Stop Worrying and Love the Bomb",1964,Stanley Kubrick,2014-08-10,3.5,7
Dial M for Murder,1954,Alfred Hitchcock,2014-08-10,4.0,8
Open Your Eyes,1997,Alejandro Amenábar,2014-08-10,4.0,8
Case 39,2009,Christian Alvart,2014-08-10,3.0,6
Fire and Ice,1983,Ralph Bakshi,2014-08-10,3.5,7
Citizen Kane,1941,Orson Welles,2014-08-10,4.0,8
Brave,2012,"Mark Andrews, Brenda Chapman",2014-08-10,4.0,8
A Night at the Opera,1935,Sam Wood,2014-08-10,4.0,8
The Avengers,2012,Joss Whedon,2014-08-10,3.5,7
Black Swan,2010,Darren Aronofsky,2014-08-10,4.0,8
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,2014-08-10,3.0,6
Ali G Indahouse,2002,Mark Mylod,2014-08-10,3.0,6
The Dictator,2012,Larry Charles,2014-08-10,3.0,6
Vertigo,1958,Alfred Hitchcock,2014-08-10,4.0,8
Thesis,1996,Alejandro Amenábar,2014-08-10,4.0,8
Seven Samurai,1954,Akira Kurosawa,2014-08-10,4.5,9
Erreway: 4 caminos,2004,Ezequiel Crupnicoff,2014-08-10,0.5,1
"The Good, the Bad and the Ugly",1966,Sergio Leone,2014-08-10,4.5,9
Sherlock Holmes: A Game of Shadows (Sherlock Holmes 2),2011,Guy Ritchie,2014-08-10,3.5,7
Sherlock Holmes,2009,Guy Ritchie,2014-08-10,3.5,7
Rear Window,1954,Alfred Hitchcock,2014-08-10,4.0,8
The Devil Inside,2012,William Brent Bell,2014-08-10,2.5,5
Léon: The Professional,1994,Luc Besson,2014-08-10,4.0,8
Seven,1995,David Fincher,2014-08-10,4.5,9
Mallrats,1995,Kevin Smith,2014-08-10,3.5,7
Lilly the Witch: The Dragon and the Magic Book,2009,Stefan Ruzowitzky,2014-08-10,2.5,5
North by Northwest,1959,Alfred Hitchcock,2014-08-10,4.5,9
Falling Down,1993,Joel Schumacher,2014-08-10,3.5,7
The Goonies,1985,Richard Donner,2014-08-10,4.0,8
Angel Heart,1987,Alan Parker,2014-08-10,3.5,7
Wasabi,2001,Gérard Krawczyk,2014-08-10,3.5,7
Puss in Boots,2011,Chris Miller,2014-08-10,3.5,7
The Warrior's Way,2010,Sngmoo Lee,2014-08-10,3.0,6
Videodrome,1983,David Cronenberg,2014-08-10,3.5,7
Fantastic Mr. Fox,2009,Wes Anderson,2014-08-10,3.5,7
Buried,2010,Rodrigo Cortés,2014-08-10,3.5,7
The Bodyguard,1992,Mick Jackson,2014-08-10,3.0,6
Extreme Measures,1996,Michael Apted,2014-08-10,3.5,7
28 Weeks Later,2007,Juan Carlos Fresnadillo,2014-08-10,3.5,7
Young Frankenstein,1974,Mel Brooks,2014-08-10,4.0,8
Defendor,2009,Peter Stebbings,2014-08-10,3.0,6
Office Space,1999,Mike Judge,2014-08-10,3.0,6
The Wild Hunt,2009,Alexandre Franchi,2014-08-10,3.0,6
Taxi Driver,1976,Martin Scorsese,2014-08-10,5.0,10
Sneakers,1992,Phil Alden Robinson,2014-08-10,3.5,7
Blue Velvet,1986,David Lynch,2014-08-10,4.0,8
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,2014-08-10,4.0,8
WarGames,1983,John Badham,2014-08-10,4.0,8
RocknRolla,2008,Guy Ritchie,2014-08-10,4.0,8
Metropolis,2001,Rintaro,2014-08-10,3.5,7
The Birds,1963,Alfred Hitchcock,2014-08-10,3.5,7
Braveheart,1995,Mel Gibson,2014-08-10,4.5,9
History of the World: Part I,1981,Mel Brooks,2014-08-10,3.5,7
American Psycho,2000,Mary Harron,2014-08-10,4.0,8
Fear and Loathing in Las Vegas,1998,Terry Gilliam,2014-08-10,4.0,8
Top Gun,1986,Tony Scott,2014-08-10,3.5,7
Pay It Forward,2000,Mimi Leder,2014-08-10,3.5,7
2001: A Space Odyssey,1968,Stanley Kubrick,2014-08-10,3.5,7
Little Miss Sunshine,2006,"Jonathan Dayton, Valerie Faris",2014-08-10,4.0,8
Nacho Libre,2006,Jared Hess,2014-08-10,3.0,6
Surrogates,2009,Jonathan Mostow,2014-08-10,3.0,6
Rio,2011,Carlos Saldanha,2014-08-10,3.0,6
The Lords of Dogtown,2005,Catherine Hardwicke,2014-08-10,3.5,7
Heavy Metal 2000,2000,"Michael Coldewey, Michel Lemire",2014-08-10,3.5,7
Heavy Metal,1981,Gerald Potterton,2014-08-10,3.5,7
Being John Malkovich,1999,Spike Jonze,2014-08-10,4.0,8
Scott Pilgrim vs. the World,2010,Edgar Wright,2014-08-10,3.5,7
Legion,2010,Scott Stewart,2014-08-10,2.0,4
Metropolis,1927,Fritz Lang,2014-08-10,4.0,8
Tenacious D: The Pick of Destiny,2006,Liam Lynch,2014-08-10,3.5,7
Conan the Destroyer,1984,Richard Fleischer,2014-08-10,3.5,7
Perfect Blue,1997,Satoshi Kon,2014-08-10,4.0,8
Paprika,2006,Satoshi Kon,2014-08-10,4.0,8
Anvil! The Story of Anvil,2008,Sacha Gervasi,2014-08-10,4.0,8
The Sting,1973,George Roy Hill,2014-08-10,4.5,9
Casablanca,1942,Michael Curtiz,2014-08-10,4.0,8
12 Monkeys,1995,Terry Gilliam,2014-08-10,3.0,6
The Prestige,2006,Christopher Nolan,2014-08-10,4.0,8
Conan the Barbarian,1982,John Milius,2014-08-10,4.0,8
Road to Perdition,2002,Sam Mendes,2014-08-10,3.5,7
The Gruffalo,2009,"Max Lang, Jakob Schuh",2014-08-10,3.5,7
The Last Samurai,2003,Edward Zwick,2014-08-10,4.0,8
Ong Bak 3,2010,"Tony Jaa, Panna Rittikrai",2014-08-10,3.0,6
Hoodwinked,2005,"Cory Edwards, Todd Edwards",2014-08-10,3.0,6
Clerks II,2006,Kevin Smith,2014-08-10,3.5,7
Clerks,1994,Kevin Smith,2014-08-10,4.0,8
TRON: Legacy,2010,Joseph Kosinski,2014-08-10,4.0,8
Zombieland,2009,Ruben Fleischer,2014-08-10,3.5,7
The Crow,1994,Alex Proyas,2014-08-10,4.0,8
Airheads,1994,Michael Lehmann,2014-08-10,3.0,6
"Amanece, que no es poco",1989,José Luis Cuerda,2014-08-10,4.0,8
Pi: Faith in Chaos,1998,Darren Aronofsky,2014-08-10,2.5,5
9,2009,Shane Acker,2014-08-10,3.5,7
The Social Network,2010,David Fincher,2014-08-10,3.5,7
Star Trek: Nemesis,2002,Stuart Baird,2014-08-10,3.0,6
The Basketball Diaries,1995,Scott Kalvert,2014-08-10,4.0,8
Cube Zero,2004,Ernie Barbarash,2014-08-10,3.5,7
Cube 2: Hypercube,2002,Andrzej Sekula,2014-08-10,3.0,6
Cube,1997,Vincenzo Natali,2014-08-10,4.5,9
The Italian Job,1969,Peter Collinson,2014-08-10,4.0,8
Waiting...,2005,Rob McKittrick,2014-08-10,2.5,5
The Day of the Beast,1995,Álex de la Iglesia,2014-08-10,4.0,8
Full Metal Jacket,1987,Stanley Kubrick,2014-08-10,4.0,8
Saw,2004,James Wan,2014-08-10,4.0,8
The Killing,1956,Stanley Kubrick,2014-08-10,4.5,9
Where the Wild Things Are,2009,Spike Jonze,2014-08-10,4.0,8
This Boy's Life,1993,Michael Caton-Jones,2014-08-10,4.0,8
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,2014-08-10,2.5,5
Life Is Beautiful,1997,Roberto Benigni,2014-08-10,4.5,9
Idiocracy,2006,Mike Judge,2014-08-10,3.5,7
Dogma,1999,Kevin Smith,2014-08-10,4.0,8
The Godfather,1972,Francis Ford Coppola,2014-08-10,4.5,9
Memento,2000,Christopher Nolan,2014-08-10,4.0,8
The Italian Job,2003,F. Gary Gray,2014-08-10,3.5,7
The Tourist,2010,Florian Henckel von Donnersmarck,2014-08-10,3.5,7
Patton,1970,Franklin J. Schaffner,2014-08-10,4.0,8
What's Eating Gilbert Grape?,1993,Lasse Hallström,2014-08-10,3.5,7
This Is England,2006,Shane Meadows,2014-08-10,3.5,7
Scarface,1983,Brian De Palma,2014-08-10,4.0,8
El milagro de P. Tinto,1998,Javier Fesser,2014-08-10,3.5,7
The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,2014-08-10,4.0,8
Hard Candy,2005,David Slade,2014-08-10,4.0,8
A Night at the Roxbury,1998,John Fortenberry,2014-08-10,3.5,7
Antitrust,2001,Peter Howitt,2014-08-10,3.5,7
Master and Commander: The Far Side of the World,2003,Peter Weir,2014-08-10,2.5,5
Enemy at the Gates,2001,Jean-Jacques Annaud,2014-08-10,4.0,8
The Downfall: Hitler and the End of the Third Reich,2004,Oliver Hirschbiegel,2014-08-10,3.0,6
Fight Club,1999,David Fincher,2014-08-10,4.5,9
One Flew Over the Cuckoo's Nest,1975,Milos Forman,2014-08-10,4.0,8
The Chronicles of Riddick,2004,David Twohy,2014-08-10,3.5,7
Minority Report,2002,Steven Spielberg,2014-08-10,3.5,7
Almost Famous,2000,Cameron Crowe,2014-08-10,4.5,9
The Year One,2009,Harold Ramis,2014-08-10,2.5,5
Transformers: Dark of the Moon,2011,Michael Bay,2014-08-10,3.0,6
Transformers: Revenge of the Fallen,2009,Michael Bay,2014-08-10,3.0,6
Transformers,2007,Michael Bay,2014-08-10,3.5,7
Kárate a muerte en Torremolinos,2003,Pedro Temboury,2014-08-10,3.0,6
The Iron Giant,1999,Brad Bird,2014-08-10,3.0,6
Grindhouse (Planet Terror),2007,Robert Rodriguez,2014-08-10,3.5,7
Hotel Rwanda,2004,Terry George,2014-08-10,3.5,7
Elite Squad,2007,José Padilha,2014-08-10,4.0,8
Astro Boy (Astroboy),2009,David Bowers,2014-08-10,3.0,6
The Chronicles of Riddick: Dark Fury,2004,Peter Chung,2014-08-10,3.0,6
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Michael Apted,2014-08-10,3.5,7
The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,2014-08-10,3.5,7
"The Chronicles of Narnia: The Lion, The Witch and the Wardrobe",2005,Andrew Adamson,2014-08-10,3.5,7
To Hell with the Ugly,2010,Nacho G. Velilla,2014-08-10,3.0,6
The Expendables,2010,Sylvester Stallone,2014-08-10,3.0,6
Night at the Museum: Battle of the Smithsonian,2009,Shawn Levy,2014-08-10,3.0,6
Night at the Museum,2006,Shawn Levy,2014-08-10,3.5,7
Gremlins 2: The New Batch,1990,Joe Dante,2014-08-10,3.0,6
Gremlins,1984,Joe Dante,2014-08-10,4.0,8
Machete,2010,"Robert Rodriguez, Ethan Maniquis",2014-08-10,3.5,7
The Hole,2001,Nick Hamm,2014-08-10,4.0,8
Alien,1979,Ridley Scott,2014-08-10,4.0,8
Rosemary's Baby,1968,Roman Polanski,2014-08-10,4.0,8
The Secret,2006,Drew Heriot,2014-08-10,3.0,6
District 9,2009,Neill Blomkamp,2014-08-10,4.0,8
Schindler's List,1993,Steven Spielberg,2014-08-10,4.5,9
Kick-Ass,2010,Matthew Vaughn,2014-08-10,3.5,7
The Island,2005,Michael Bay,2014-08-10,3.0,6
