Title,Year,Directors,WatchedDate,Rating,Rating10
Beverly Hills Cop,1984,Martin Brest,2019-11-09,3.5,7
Little Monsters,2019,Abe Forsythe,2019-11-08,4.0,8
Dolemite Is My Name,2019,Craig Brewer,2019-11-02,3.5,7
Winter on Fire,2015,Evgeny Afineevsky,2019-10-22,4.0,8
Joker,2019,Todd Phillips,2019-10-20,4.0,8
The Secret Life of Pets 2,2019,"Chris Renaud, Jonathan del Val",2019-10-19,3.0,6
Jurassic World: Fallen Kingdom,2018,J.A. Bayona,2019-10-17,3.0,6
Flash Gordon,1980,Mike Hodges,2019-10-13,3.5,7
Knuckle,2011,Ian Palmer,2019-09-30,3.0,6
Toy Story 4,2019,Josh Cooley,2019-09-23,4.0,8
All About Eve,1950,Joseph L. Mankiewicz,2019-09-22,3.5,7
Missing Link,2019,Chris Butler,2019-09-21,4.0,8
Mandy,2018,Panos Cosmatos,2019-09-21,3.5,7
mother!,2017,Darren Aronofsky,2019-09-14,3.5,7
It: Chapter Two,2019,Andy Muschietti,2019-09-13,4.0,8
IRIS: A Space Opera by Justice,2019,Andre Chemetoff,2019-09-11,4.0,8
Flushed Away,2006,"David Bowers, Sam Fell",2019-09-09,3.5,7
The Crystal Calls: Making ‘The Dark Crystal: Age of Resistance',2019,Randall Lobb,2019-09-09,3.5,7
Detective Pikachu,2019,Rob Letterman,2019-08-31,3.5,7
Once Upon a Time in... Hollywood,2019,Quentin Tarantino,2019-08-17,3.0,6
Superbad,2007,Greg Mottola,2019-08-13,2.5,5
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,2013,Felix Herngren,2019-08-10,3.5,7
Chicago,2002,Rob Marshall,2019-08-01,3.5,7
The Texas Chainsaw Massacre,1974,Tobe Hooper,2019-07-27,3.5,7
The Great Gatsby,2013,Baz Luhrmann,2019-07-17,3.5,7
American Graffiti,1973,George Lucas,2019-07-17,3.0,6
Lost in Translation,2003,Sofia Coppola,2019-07-16,2.5,5
Circle,2015,"Aaron Hann, Mario Miscione",2019-07-16,2.0,4
Baywatch,2017,Seth Gordon,2019-07-15,2.5,5
Ted 2,2015,Seth MacFarlane,2019-07-14,3.0,6
Kick-Ass 2,2013,Jeff Wadlow,2019-07-14,3.0,6
Ted,2012,Seth MacFarlane,2019-07-13,3.0,6
The SpongeBob Movie: Sponge Out of Water,2015,Paul Tibbitt,2019-07-13,2.5,5
"Oh, Ramona!",2019,Cristina Jacob,2019-07-12,2.0,4
The Babysitter,2017,McG,2019-07-11,3.0,6
Annihilation,2018,Alex Garland,2019-07-11,2.5,5
The Night Comes for Us,2018,Timo Tjahjanto,2019-07-10,3.5,7
Apostle,2018,Gareth Evans,2019-07-10,3.0,6
Polar,2019,Jonas Åkerlund,2019-07-09,2.5,5
Tucker & Dale vs Evil,2010,Eli Craig,2019-07-06,3.5,7
Asterix: The Land of The Gods 3D,2014,"Alexandre Astier, Louis Clichy",2019-07-06,3.0,6
Green Room,2015,Jeremy Saulnier,2019-07-05,3.5,7
Captain Fantastic,2016,Matt Ross,2019-07-05,3.5,7
The Royal Tenenbaums,2001,Wes Anderson,2019-07-03,4.0,8
Asterix: The Secret of the Magic Potion,2018,"Alexandre Astier, Louis Clichy",2019-07-03,3.0,6
The Black Cauldron,1985,"Ted Berman, Richard Rich",2019-07-02,3.5,7
Howard the Duck,1986,William Huyck,2019-07-02,3.0,6
The Exorcist,1973,William Friedkin,2019-07-01,3.5,7
Bonnie & Clyde,1967,Arthur Penn,2019-07-01,3.5,7
Green Book,2018,Peter Farrelly,2019-06-30,4.5,9
Let the Right One In,2008,Tomas Alfredson,2019-06-30,3.5,7
Bad Times at the El Royale,2018,Drew Goddard,2019-06-29,4.0,8
Ed Wood,1994,Tim Burton,2019-06-29,4.0,8
Delicatessen,1991,"Jean-Pierre Jeunet, Marc Caro",2019-06-23,3.5,7
You Were Never Really Here,2017,Lynne Ramsay,2019-06-22,3.5,7
Glass,2019,M. Night Shyamalan,2019-06-22,3.0,6
Bird Box,2018,Susanne Bier,2019-06-21,2.5,5
Spellbound,1945,Alfred Hitchcock,2019-06-20,3.5,7
"Aguirre, the Wrath of God",1972,Werner Herzog,2019-06-15,2.5,5
Mortal Engines,2018,Christian Rivers,2019-06-09,3.0,6
Strangers on a Train,1951,Alfred Hitchcock,2019-06-08,4.0,8
Excalibur,1981,John Boorman,2019-06-08,3.5,7
Identity,2003,James Mangold,2019-06-06,3.5,7
The Red Turtle,2016,Michael Dudok de Wit,2019-06-01,3.0,6
The Dark Crystal,1982,"Jim Henson, Frank Oz",2019-05-31,4.0,8
Fantastic Beasts: The Crimes of Grindelwald,2018,David Yates,2019-05-31,3.0,6
The Girl of Your Dreams,1998,Fernando Trueba,2019-05-30,3.5,7
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey",2019-05-25,4.0,8
Climax,2018,Gaspar Noé,2019-05-24,4.0,8
Marnie,1964,Alfred Hitchcock,2019-05-23,4.0,8
The Lost Boys,1987,Joel Schumacher,2019-05-18,3.5,7
Kingsman: The Golden Circle,2017,Matthew Vaughn,2019-05-16,4.0,8
Lords of Chaos,2018,Jonas Åkerlund,2019-05-11,3.5,7
Quadrophenia,1979,Franc Roddam,2019-05-06,4.0,8
Avengers: Endgame,2019,"Anthony Russo, Joe Russo",2019-05-04,4.0,8
Valhalla Rising,2009,Nicolas Winding Refn,2019-04-30,3.0,6
How To Train Your Dragon: The Hidden World,2019,Dean DeBlois,2019-04-27,4.0,8
The Body,2012,Oriol Paulo,2019-04-20,4.0,8
Dark Shadows,2012,Tim Burton,2019-04-19,3.0,6
Shrek Forever After,2010,Mike Mitchell,2019-04-19,3.0,6
Hanna,2011,Joe Wright,2019-04-18,4.0,8
Last Action Hero,1993,John McTiernan,2019-04-18,3.5,7
Swiped: Hooking Up in the Digital Age,2018,Nancy Jo Sales,2019-04-17,3.5,7
Cleopatra,1963,Joseph L. Mankiewicz,2019-04-13,4.0,8
Notorious,1946,Alfred Hitchcock,2019-04-11,4.0,8
The Boondock Saints,1999,Troy Duffy,2019-03-29,4.0,8
Another Day of Life,2018,"Raúl de la Fuente, Damian Nenow",2019-03-23,3.5,7
